time,hmd rotation
14:08:48:055,0.003754344
14:08:48:066,0.002591853
14:08:48:073,0.002973381
14:08:48:085,0.002835904
14:08:48:093,0.002704808
14:08:48:102,0.003172822
14:08:48:109,0.002580166
14:08:48:119,0.001839308
14:08:48:126,0.002936072
14:08:48:135,0.0009992477
14:08:48:144,0.001011968
14:08:48:151,0.001221601
14:08:48:159,0.001030198
14:08:48:168,0.002034076
14:08:48:177,0.001603218
14:08:48:186,0.001938226
14:08:48:194,0.001979322
14:08:48:203,0.001830823
14:08:48:211,0.002171991
14:08:48:221,0.002079915
14:08:48:229,0.001588071
14:08:48:237,0.00186442
14:08:48:245,0.001728922
14:08:48:253,0.001094671
14:08:48:262,0.001206461
14:08:48:270,0.001759712
14:08:48:277,0.001734286
14:08:48:286,0.001744916
14:08:48:293,0.002889333
14:08:48:301,0.002064027
14:08:48:308,0.002362753
14:08:48:317,0.001796396
14:08:48:328,0.002409623
14:08:48:337,0.002045391
14:08:48:348,0.002686774
14:08:48:356,0.001524614
14:08:48:365,0.001840428
14:08:48:373,0.001216504
14:08:48:384,0.002066438
14:08:48:392,0.001602649
14:08:48:399,0.002846621
14:08:48:408,0.00381408
14:08:48:416,0.003946125
14:08:48:425,0.004707234
14:08:48:435,0.004338904
14:08:48:443,0.003922664
14:08:48:450,0.004146434
14:08:48:458,0.003622537
14:08:48:466,0.004112545
14:08:48:474,0.004346217
14:08:48:484,0.003790803
14:08:48:492,0.003198305
14:08:48:500,0.003835384
14:08:48:507,0.003826845
14:08:48:515,0.004110891
14:08:48:525,0.003990903
14:08:48:533,0.004658944
14:08:48:542,0.004546389
14:08:48:551,0.004812428
14:08:48:560,0.004520261
14:08:48:568,0.004324415
14:08:48:576,0.004158884
14:08:48:586,0.003913861
14:08:48:597,0.003961887
14:08:48:605,0.003864738
14:08:48:613,0.003946845
14:08:48:621,0.003367985
14:08:48:629,0.003805264
14:08:48:637,0.003194703
14:08:48:646,0.002468721
14:08:48:654,0.003744196
14:08:48:662,0.002998767
14:08:48:671,0.002515264
14:08:48:678,0.001892317
14:08:48:687,0.002206626
14:08:48:697,0.001802219
14:08:48:705,0.002380346
14:08:48:713,0.001952403
14:08:48:721,0.001515052
14:08:48:728,0.00230772
14:08:48:736,0.002625382
14:08:48:744,0.003458194
14:08:48:753,0.00256779
14:08:48:761,0.002986127
14:08:48:770,0.002935295
14:08:48:777,0.003343806
14:08:48:785,0.003381756
14:08:48:793,0.00206494
14:08:48:801,0.002449685
14:08:48:811,0.002568949
14:08:48:819,0.002671709
14:08:48:829,0.002426624
14:08:48:837,0.00165453
14:08:48:845,0.002100415
14:08:48:853,0.002288873
14:08:48:863,0.002696944
14:08:48:871,0.003299328
14:08:48:879,0.003642566
14:08:48:889,0.003275131
14:08:48:897,0.005068247
14:08:48:904,0.003907594
14:08:48:914,0.00446955
14:08:48:923,0.004634418
14:08:48:931,0.004224741
14:08:48:939,0.003529763
14:08:48:948,0.003625018
14:08:48:957,0.003576288
14:08:48:965,0.003737665
14:08:48:975,0.004442947
14:08:48:983,0.004057078
14:08:48:992,0.003472218
14:08:49:000,0.004218157
14:08:49:008,0.003857491
14:08:49:016,0.003293688
14:08:49:024,0.003335937
14:08:49:034,0.00326767
14:08:49:041,0.002688633
14:08:49:051,0.002634994
14:08:49:058,0.00215126
14:08:49:067,0.002521362
14:08:49:074,0.003432855
14:08:49:081,0.003638147
14:08:49:094,0.00358473
14:08:49:104,0.004853504
14:08:49:112,0.005145765
14:08:49:120,0.005366182
14:08:49:126,0.005491684
14:08:49:135,0.005166338
14:08:49:142,0.003700142
14:08:49:154,0.003901517
14:08:49:160,0.003675629
14:08:49:168,0.003421533
14:08:49:177,0.003144314
14:08:49:185,0.003429651
14:08:49:193,0.00312405
14:08:49:200,0.003869475
14:08:49:209,0.003784481
14:08:49:217,0.00369347
14:08:49:225,0.004923014
14:08:49:233,0.004054801
14:08:49:240,0.004060018
14:08:49:247,0.004349448
14:08:49:257,0.004347318
14:08:49:266,0.004957061
14:08:49:275,0.004292182
14:08:49:284,0.004456914
14:08:49:292,0.004895845
14:08:49:299,0.00595303
14:08:49:306,0.005870997
14:08:49:316,0.006080459
14:08:49:324,0.006383386
14:08:49:332,0.007233268
14:08:49:340,0.007746603
14:08:49:348,0.008291967
14:08:49:356,0.007607442
14:08:49:365,0.007042583
14:08:49:375,0.007219077
14:08:49:382,0.007059796
14:08:49:391,0.006312852
14:08:49:399,0.006137468
14:08:49:407,0.005977943
14:08:49:417,0.005922718
14:08:49:424,0.006009652
14:08:49:436,0.006736815
14:08:49:444,0.005664256
14:08:49:452,0.006442008
14:08:49:460,0.006005044
14:08:49:467,0.006522016
14:08:49:478,0.005830687
14:08:49:487,0.006064536
14:08:49:495,0.006043651
14:08:49:503,0.00657246
14:08:49:511,0.007391693
14:08:49:520,0.008321326
14:08:49:528,0.007375929
14:08:49:535,0.009030059
14:08:49:543,0.00851709
14:08:49:553,0.009753527
14:08:49:560,0.008878349
14:08:49:567,0.009601926
14:08:49:577,0.00862783
14:08:49:584,0.009661371
14:08:49:594,0.009054811
14:08:49:601,0.009119807
14:08:49:608,0.009505937
14:08:49:616,0.009379058
14:08:49:624,0.00853501
14:08:49:636,0.008115246
14:08:49:644,0.009156656
14:08:49:653,0.00883207
14:08:49:660,0.009341234
14:08:49:668,0.008881063
14:08:49:676,0.00895066
14:08:49:686,0.007948857
14:08:49:695,0.008065922
14:08:49:701,0.007794185
14:08:49:710,0.007309525
14:08:49:717,0.007393287
14:08:49:724,0.007103987
14:08:49:736,0.006564386
14:08:49:743,0.007787545
14:08:49:751,0.007887813
14:08:49:758,0.008063735
14:08:49:766,0.007471705
14:08:49:776,0.007852729
14:08:49:784,0.00837159
14:08:49:795,0.008033393
14:08:49:803,0.007245034
14:08:49:811,0.007187509
14:08:49:819,0.006466431
14:08:49:828,0.007113188
14:08:49:838,0.006601544
14:08:49:851,0.007313583
14:08:49:860,0.007940634
14:08:49:868,0.00773362
14:08:49:879,0.007715462
14:08:49:888,0.008171127
14:08:49:898,0.008585164
14:08:49:908,0.008759194
14:08:49:917,0.008455615
14:08:49:926,0.008421523
14:08:49:936,0.008196894
14:08:49:945,0.00891032
14:08:49:955,0.008242391
14:08:49:965,0.007837351
