time,hmd rotation
11:21:02:938,0.7124212
11:21:02:947,0.7117833
11:21:02:954,0.7109196
11:21:02:963,0.7110391
11:21:02:971,0.7104254
11:21:02:979,0.711419
11:21:02:987,0.7119296
11:21:03:012,0.7126676
11:21:03:020,0.71417
11:21:03:030,0.7148699
11:21:03:039,0.7150376
11:21:03:047,0.7153119
11:21:03:069,0.7168739
11:21:03:093,0.7167456
11:21:03:101,0.7174171
11:21:03:108,0.7171081
11:21:03:117,0.7173811
11:21:03:126,0.7177022
11:21:03:134,0.7184384
11:21:03:142,0.7177817
11:21:03:152,0.7166407
11:21:03:161,0.7170457
11:21:03:168,0.7171873
11:21:03:175,0.7161915
11:21:03:185,0.716518
11:21:03:192,0.7174876
11:21:03:200,0.7174465
11:21:03:226,0.7190193
11:21:03:251,0.7198856
11:21:03:260,0.7199613
11:21:03:268,0.7212415
11:21:03:276,0.7210328
11:21:03:285,0.7215205
11:21:03:292,0.7217373
11:21:03:300,0.7228302
11:21:03:308,0.7236664
11:21:03:315,0.7246181
11:21:03:326,0.7267913
11:21:03:349,0.7293175
11:21:03:356,0.7292689
11:21:03:364,0.730123
11:21:03:373,0.7309899
11:21:03:381,0.7307413
11:21:03:388,0.7317023
11:21:03:395,0.7324148
11:21:03:403,0.7324875
11:21:03:411,0.7326796
11:21:03:419,0.7331349
11:21:03:430,0.7327727
11:21:03:437,0.7326663
11:21:03:445,0.7333005
11:21:03:452,0.7328628
11:21:03:461,0.7341568
11:21:03:469,0.7331761
11:21:03:477,0.7343876
11:21:03:486,0.735488
11:21:03:495,0.7358143
11:21:03:503,0.7364305
11:21:03:513,0.7368751
11:21:03:521,0.7373166
11:21:03:530,0.7383614
11:21:03:554,0.7397019
11:21:03:562,0.7398502
11:21:03:571,0.7412177
11:21:03:578,0.743565
11:21:03:588,0.7452884
11:21:03:595,0.746907
11:21:03:603,0.7483305
11:21:03:610,0.7487656
11:21:03:620,0.7519176
11:21:03:629,0.7532373
11:21:03:637,0.7539595
11:21:03:645,0.7543328
11:21:03:653,0.7556084
11:21:03:659,0.756642
11:21:03:669,0.758011
11:21:03:680,0.7586429
11:21:03:689,0.7607345
11:21:03:697,0.7629274
11:21:03:705,0.7627215
11:21:03:713,0.7647802
11:21:03:720,0.7658688
11:21:03:746,0.7701241
11:21:03:766,0.7715284
11:21:03:773,0.7720491
11:21:03:781,0.7722428
11:21:03:791,0.7726449
11:21:03:802,0.7733255
11:21:03:811,0.7730635
11:21:03:819,0.7743649
11:21:03:827,0.7753987
11:21:03:835,0.7767214
11:21:03:843,0.7786424
11:21:03:852,0.7808136
11:21:03:864,0.783619
11:21:03:872,0.7855814
11:21:03:881,0.7894405
11:21:03:890,0.7929819
11:21:03:898,0.797021
11:21:03:906,0.800388
11:21:03:913,0.8044823
11:21:03:919,0.8076651
11:21:03:927,0.8131279
11:21:03:934,0.818418
11:21:03:944,0.8224851
11:21:03:952,0.826449
11:21:03:961,0.8300208
11:21:03:970,0.8325937
11:21:03:977,0.8346558
11:21:03:985,0.8363049
11:21:03:993,0.8372076
11:21:04:009,0.8387355
11:21:04:041,0.8396686
11:21:04:059,0.8404334
11:21:04:090,0.002658592
11:21:04:099,0.003430563
11:21:04:112,0.003349592
11:21:04:121,0.002635618
11:21:04:132,0.001996248
11:21:04:141,0.001127047
11:21:04:151,0.0006816832
11:21:04:164,0.0008477577
11:21:04:175,0.0003909222
11:21:04:185,0.0008999034
11:21:04:195,0.001496052
11:21:04:203,0.001516952
11:21:04:213,0.002014413
11:21:04:239,0.005796954
11:21:04:248,0.008528992
11:21:04:259,0.01037825
11:21:04:268,0.01112554
11:21:04:277,0.01259387
11:21:04:291,0.01566824
11:21:04:300,0.01676401
11:21:04:307,0.01940778
11:21:04:317,0.02099791
11:21:04:326,0.02367724
11:21:04:335,0.02714314
11:21:04:345,0.02954626
11:21:04:356,0.03389337
11:21:04:364,0.03708334
11:21:04:375,0.04064668
11:21:04:383,0.04330285
11:21:04:392,0.04608737
11:21:04:400,0.04820029
11:21:04:409,0.05065275
11:21:04:417,0.0540306
11:21:04:425,0.0551167
11:21:04:436,0.05605282
11:21:04:445,0.05761256
11:21:04:454,0.05900678
11:21:04:462,0.05978899
11:21:04:474,0.06175302
11:21:04:500,0.06206746
11:21:04:510,0.06229788
11:21:04:521,0.0625653
11:21:04:532,0.06210069
11:21:04:540,0.06251193
11:21:04:549,0.06227805
11:21:04:558,0.06302278
11:21:04:566,0.06202769
11:21:04:576,0.06214453
11:21:04:583,0.06217822
11:21:04:595,0.06126598
11:21:04:604,0.06023288
11:21:04:612,0.0608946
11:21:04:620,0.05987231
11:21:04:630,0.06111906
11:21:04:641,0.0618993
11:21:04:650,0.06200512
11:21:04:663,0.0629553
11:21:04:673,0.06386649
11:21:04:682,0.06411763
11:21:04:692,0.06381604
11:21:04:724,0.06254751
11:21:04:735,0.06259972
11:21:04:746,0.06129377
11:21:04:758,0.0612247
11:21:04:768,0.06180887
11:21:04:779,0.06282296
11:21:04:788,0.06292587
11:21:04:800,0.06345489
11:21:04:808,0.06518878
11:21:04:818,0.06483126
11:21:04:826,0.06405529
11:21:04:836,0.06589068
11:21:04:844,0.06577953
11:21:04:852,0.06647804
11:21:04:864,0.06572439
11:21:04:878,0.06568124
11:21:04:889,0.06568319
11:21:04:898,0.06595399
11:21:04:907,0.06630038
11:21:04:918,0.0671766
11:21:04:926,0.06697886
11:21:04:935,0.06710248
11:21:04:943,0.06735194
11:21:04:951,0.06754524
11:21:04:959,0.06708645
11:21:04:967,0.06679391
11:21:04:977,0.06635609
11:21:04:986,0.06682649
11:21:04:994,0.06737032
11:21:05:002,0.06661995
11:21:05:010,0.06593396
11:21:05:019,0.06833863
11:21:05:027,0.06760142
11:21:05:038,0.06766118
11:21:05:046,0.06831749
11:21:05:054,0.0683784
11:21:05:062,0.06742769
11:21:05:069,0.06655458
11:21:05:078,0.06626339
11:21:05:087,0.06556173
11:21:05:099,0.06463644
11:21:05:109,0.06399138
11:21:05:118,0.06420955
11:21:05:126,0.06502016
11:21:05:135,0.06415148
11:21:05:143,0.06517366
11:21:05:150,0.06429132
11:21:05:156,0.06440641
11:21:05:166,0.06421249
11:21:05:173,0.06454109
11:21:05:182,0.06344778
11:21:05:189,0.06417963
11:21:05:196,0.0645811
11:21:05:205,0.06458742
11:21:05:214,0.06383352
11:21:05:225,0.064138
11:21:05:233,0.06450254
11:21:05:242,0.06445337
11:21:05:250,0.06442662
11:21:05:259,0.06524993
11:21:05:268,0.0642051
11:21:05:276,0.06352933
11:21:05:286,0.06338609
11:21:05:295,0.06326739
11:21:05:303,0.06280714
11:21:05:311,0.06294537
11:21:05:321,0.06298893
11:21:05:328,0.06312765
11:21:05:337,0.06327578
11:21:05:344,0.06208592
11:21:05:352,0.06187362
11:21:05:361,0.06156047
11:21:05:369,0.0613336
11:21:05:377,0.06067685
11:21:05:385,0.06101237
11:21:05:398,0.06281146
11:21:05:408,0.06295262
11:21:05:415,0.06367564
11:21:05:424,0.06401648
11:21:05:433,0.06443266
11:21:05:441,0.06550889
11:21:05:452,0.06591096
11:21:05:464,0.06543069
11:21:05:472,0.0644926
11:21:05:481,0.0634749
11:21:05:489,0.06235095
11:21:05:497,0.06275556
11:21:05:505,0.06282354
11:21:05:517,0.06383541
11:21:05:525,0.06385827
11:21:05:533,0.06520414
11:21:05:541,0.06441478
11:21:05:548,0.06460148
11:21:05:556,0.06442843
11:21:05:564,0.06449031
11:21:05:573,0.0641408
11:21:05:581,0.06549138
11:21:05:589,0.06518457
11:21:05:597,0.06541613
11:21:05:608,0.06561632
11:21:05:615,0.06578559
11:21:05:625,0.06670396
11:21:05:633,0.06728542
11:21:05:640,0.0672574
11:21:05:648,0.06715194
11:21:05:655,0.0669088
11:21:05:664,0.06734917
11:21:05:673,0.06620529
11:21:05:681,0.06636575
11:21:05:691,0.06656268
11:21:05:699,0.06648593
11:21:05:706,0.06550488
11:21:05:714,0.06595269
11:21:05:724,0.06697894
11:21:05:731,0.06699922
11:21:05:738,0.06701
11:21:05:748,0.06705719
11:21:05:757,0.06624756
11:21:05:767,0.06670698
11:21:05:775,0.06592021
11:21:05:785,0.06581989
11:21:05:793,0.06528418
11:21:05:802,0.06483822
11:21:05:810,0.06426308
11:21:05:818,0.06350981
11:21:05:827,0.06342617
11:21:05:835,0.06246459
11:21:05:844,0.06194729
11:21:05:852,0.06245422
11:21:05:862,0.06363549
11:21:05:870,0.06532501
11:21:05:881,0.06721665
11:21:05:891,0.0680244
11:21:05:898,0.06920271
11:21:05:907,0.06936266
11:21:05:914,0.06784467
11:21:05:925,0.06650198
11:21:05:932,0.06497195
11:21:05:940,0.06424803
11:21:05:948,0.06503834
11:21:05:955,0.06520645
11:21:05:962,0.06604926
11:21:05:971,0.0676711
11:21:05:978,0.06868988
11:21:05:987,0.06862416
11:21:05:994,0.0696784
11:21:06:001,0.07007391
11:21:06:009,0.07008932
11:21:06:016,0.07037243
11:21:06:027,0.07148451
11:21:06:034,0.07093581
11:21:06:040,0.07101006
11:21:06:049,0.07283425
11:21:06:056,0.07375315
11:21:06:064,0.07460618
11:21:06:070,0.0758037
11:21:06:078,0.07744482
11:21:06:090,0.07830936
11:21:06:097,0.07896424
11:21:06:105,0.07842157
11:21:06:112,0.0779961
11:21:06:119,0.07857007
11:21:06:127,0.07796752
11:21:06:134,0.07786796
11:21:06:143,0.07792184
11:21:06:151,0.07841589
11:21:06:157,0.07908738
11:21:06:165,0.07921942
11:21:06:174,0.07923456
11:21:06:182,0.07838454
11:21:06:189,0.07920709
11:21:06:196,0.07878131
11:21:06:206,0.07849429
11:21:06:213,0.07877305
11:21:06:220,0.07824173
11:21:06:229,0.0777023
11:21:06:235,0.07825818
11:21:06:243,0.07760257
11:21:06:254,0.07705787
11:21:06:261,0.0774909
11:21:06:273,0.07751802
11:21:06:280,0.07668972
11:21:06:289,0.07619561
11:21:06:298,0.07542042
11:21:06:305,0.07479402
11:21:06:312,0.07556026
11:21:06:319,0.07544239
11:21:06:327,0.07495359
11:21:06:334,0.07576971
11:21:06:341,0.0759803
11:21:06:349,0.07686417
11:21:06:356,0.07631396
11:21:06:364,0.07663497
11:21:06:371,0.07707401
11:21:06:381,0.07647772
11:21:06:390,0.07716875
11:21:06:397,0.07673024
11:21:06:403,0.07720295
11:21:06:412,0.07773902
11:21:06:418,0.0768192
11:21:06:426,0.07726253
11:21:06:436,0.07595633
11:21:06:445,0.07738534
11:21:06:452,0.07803118
11:21:06:458,0.0778311
11:21:06:467,0.07780232
11:21:06:474,0.07781707
11:21:06:482,0.0782836
11:21:06:492,0.07858236
11:21:06:499,0.07971675
11:21:06:509,0.07934609
11:21:06:516,0.08039744
11:21:06:523,0.08094054
11:21:06:532,0.08248342
11:21:06:539,0.08326381
11:21:06:551,0.08424433
11:21:06:558,0.08530583
11:21:06:565,0.08662786
11:21:06:573,0.08745687
11:21:06:579,0.08828044
11:21:06:586,0.08902339
11:21:06:595,0.0889167
11:21:06:604,0.09056056
11:21:06:612,0.09031229
11:21:06:619,0.09031525
11:21:06:626,0.09030126
11:21:06:634,0.0899615
11:21:06:641,0.0897638
11:21:06:651,0.08948218
11:21:06:658,0.08819392
11:21:06:665,0.08837615
11:21:06:674,0.08918088
11:21:06:681,0.08910059
11:21:06:689,0.08965041
11:21:06:698,0.08894635
11:21:06:706,0.08938697
11:21:06:715,0.09042737
11:21:06:722,0.09081177
11:21:06:731,0.09039792
11:21:06:738,0.09214279
11:21:06:745,0.0933838
11:21:06:754,0.09512074
11:21:06:761,0.09623365
11:21:06:772,0.09757781
11:21:06:780,0.09894062
11:21:06:787,0.09945504
11:21:06:794,0.1007276
11:21:06:802,0.1007612
11:21:06:809,0.1017392
